SBY 15:54:21 [formal/fifo_sync_prove_fifo] Removing directory '/home/george/repos/verilog-fifos/fifo_sync/tb/formal/fifo_sync_prove_fifo'.
SBY 15:54:21 [formal/fifo_sync_prove_fifo] Copy '/home/george/repos/verilog-fifos/fifo_sync/rtl/fifo_sync.v' to '/home/george/repos/verilog-fifos/fifo_sync/tb/formal/fifo_sync_prove_fifo/src/fifo_sync.v'.
SBY 15:54:21 [formal/fifo_sync_prove_fifo] engine_0: smtbmc
SBY 15:54:21 [formal/fifo_sync_prove_fifo] base: starting process "cd formal/fifo_sync_prove_fifo/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 15:54:21 [formal/fifo_sync_prove_fifo] base: finished (returncode=0)
SBY 15:54:21 [formal/fifo_sync_prove_fifo] prep: starting process "cd formal/fifo_sync_prove_fifo/model; yosys -ql design_prep.log design_prep.ys"
SBY 15:54:21 [formal/fifo_sync_prove_fifo] prep: finished (returncode=0)
SBY 15:54:21 [formal/fifo_sync_prove_fifo] smt2: starting process "cd formal/fifo_sync_prove_fifo/model; yosys -ql design_smt2.log design_smt2.ys"
SBY 15:54:21 [formal/fifo_sync_prove_fifo] smt2: finished (returncode=0)
SBY 15:54:21 [formal/fifo_sync_prove_fifo] engine_0.basecase: starting process "cd formal/fifo_sync_prove_fifo; yosys-smtbmc --presat --unroll --noprogress -t 45  --append 0 --dump-vcd engine_0/trace.vcd --dump-yw engine_0/trace.yw --dump-vlogtb engine_0/trace_tb.v --dump-smtc engine_0/trace.smtc model/design_smt2.smt2"
SBY 15:54:21 [formal/fifo_sync_prove_fifo] engine_0.induction: starting process "cd formal/fifo_sync_prove_fifo; yosys-smtbmc --presat --unroll -i --noprogress -t 45  --append 0 --dump-vcd engine_0/trace_induct.vcd --dump-yw engine_0/trace_induct.yw --dump-vlogtb engine_0/trace_induct_tb.v --dump-smtc engine_0/trace_induct.smtc model/design_smt2.smt2"
SBY 15:54:21 [formal/fifo_sync_prove_fifo] engine_0.basecase: ##   0:00:00  Checking assertions in step 9..
SBY 15:54:21 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 27..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 26..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 25..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 24..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.basecase: ##   0:00:00  Checking assumptions in step 10..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.basecase: ##   0:00:00  Checking assertions in step 10..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 23..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 22..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 21..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 20..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.basecase: ##   0:00:00  Checking assumptions in step 11..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 19..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.basecase: ##   0:00:00  Checking assertions in step 11..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 18..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 17..
SBY 15:54:22 [formal/fifo_sync_prove_fifo] engine_0.induction: ##   0:00:00  Trying induction in step 16..
